mol,CAS,Tox
Brc1ccc(Br)cc1,106-37-6,3.6800001
Brc1ccc(C)cc1,106-38-7,3.47
Brc1ccc(N)cc1,106-40-1,4.0100002
Brc1ccc(O)cc1,106-41-2,3.6800001
Cc1ccc(C)cc1,106-42-3,3.25
Oc1ccc(C)cc1,106-44-5,2.8399999
Clc1ccc(Cl)cc1,106-46-7,3.53
Nc1ccc(C)cc1,106-49-0,2.95
O=C(OCC(C)C)C=C,106-63-8,3.29
O=C(OC)CCC(=O)OC,106-65-0,1.943
O=C(OC)CCCCC,106-70-7,2.4389999
O=C(OC)CCCCCC,106-73-0,3.1040001
O=C(OC)CCCCCCCCC(=O)OC,106-79-6,4.0110002
BrCC=C,106-95-6,3.569
O=CC=C,107-02-8,4.8899999
ClCC=C,107-05-1,2.0599999
ClCCO,107-07-3,1.5829999
ICCC,107-08-4,2.6099999
N#CCC,107-12-0,1.028
ClCC#N,107-14-2,3.845
OCC=C,107-18-6,1.082
OCC#C,107-19-7,1.926
O/N=C/C,107-29-9,1.39
O=COC,107-31-3,1.502
OC(CC(O)C)(C)C,107-41-5,1.0470001
ClCC(=O)OC(C)(C)C,107-59-5,3.8540001
BrCCC(C)C,107-82-4,3.25
NCCC(C)C,107-85-7,2.4230001
O=C/C=C(\C)/C,107-86-8,3.0899999
O=C(CCC)C,107-87-9,1.778
OC(CCO)C,107-88-0,0.699
O=C(O)CCC,107-92-6,2.428
O=C(O)/C=C/C,107-93-7,2.4549999
ClCCC(=O)O,107-94-8,2.668
O=[N+]([O-])CCC,108-03-2,2.01
O=C(OC=C)C,108-05-4,2.141
O=C(CC(C)C)C,108-10-1,1.7920001
O=C(OC(C)C)C,108-21-4,1.41
O=C(OC(=C)C)C,108-22-5,2.5109999
O=C1OC(C)CC1,108-29-2,1.431
Oc1cc(C)ccc1,108-39-4,2.9200001
Clc1cc(O)ccc1,108-43-0,3.8699999
Nc1cc(C)ccc1,108-44-1,2.72
Oc1cc(O)ccc1,108-46-3,2.3499999
Cc1nccc(C)c1,108-47-4,2.3499999
Cc1nc(C)ccc1,108-48-5,2.1900001
O=C(OC)CC(=O)OC,108-59-8,1.7130001
O=C(OCC)CC(C)C,108-64-5,2.277
Nc1cc(C)cc(C)c1,108-69-0,2.6400001
Clc1cc(Cl)cc(Cl)c1,108-70-3,3.8699999
Oc1cc(O)cc(O)c1,108-73-6,1.74
Cc1ccccc1,108-88-3,3.25
Cc1ccncc1,108-89-4,2.1199999
Clc1ccccc1,108-90-7,2.8699999
OC1CCCCC1,108-93-0,2.234
O=C1CCCCC1,108-94-1,1.767
Oc1ccccc1,108-95-2,2.6500001
Sc1ccccc1,108-98-5,4.6599998
CN1CCNCC1,109-01-3,2.04
Brc1ncccc1,109-04-6,2.46
Cc1ncccc1,109-06-8,1.99
Cc1nccnc1,109-08-0,1.91
Clc1ncccc1,109-09-1,2.1600001
O=C(OCCCC)CCC,109-21-7,3.516
S=C(NCCCC)NCCCC,109-46-6,3.8599999
O=C(CCC=C)C,109-49-9,1.86
OC(C#CCC)C,109-50-2,3.5109999
O=C(O)CCCC,109-52-4,2.733
O=C(OCCC)C,109-60-4,1.762
ClCCCC,109-69-3,2.0899999
N#CCCC,109-74-0,1.559
N#CCC=C,109-75-1,1.521
N#CCC#N,109-77-3,3.22
OCCNC,109-83-1,1.1799999
O(CCN)C,109-85-3,1.21
o1cccc1,110-00-9,1.35
s1cccc1,110-02-1,1.5599999
O=C(CCC(C)C)C,110-12-3,2.3540001
O=C(CCC(=O)C)C,110-13-4,1.597
O=C(O)CCC(=O)O,110-15-6,2.0610001
O=C(NCNC(=O)C=C)C=C,110-26-9,2.4849999
O=C(OCC)CCCCCCCCC(=O)OCC,110-40-7,4.3540001
O=C(OC)CCCCCCCCC,110-42-9,4.3779998
BrCCCCC,110-53-2,3.484
C(CCC)CC,110-54-3,3.72
ClC/C=C/CCl,110-57-6,3.77
NCCCCC,110-58-7,2.5150001
N#CCCCC,110-59-8,1.993
N#CCCC#N,110-61-2,1.176
O=CCCCC,110-62-3,2.9779999
OCCCCO,110-63-4,0.764
OCC#CCO,110-65-6,1.1160001
N(CCCC)C,110-68-9,2.322
O=COCCC,110-74-7,1.978
n1ccccc1,110-86-1,1.6799999
O=C(CC/C=C(\C)/C)C,110-93-0,2.5480001
O=C(O)CCCC(=O)O,110-94-1,2.3610001
O=C(OC)CCCCCCC,111-11-5,3.536
O=C(OC)C#CCCCCC,111-12-6,4.04
O=C(CCCCCC)C,111-13-7,2.855
O=C(O)CCCCCC,111-14-8,2.8870001
O=C(O)CCCCCC(=O)O,111-16-0,2.4159999
BrCCCCCC,111-25-1,3.937
NCCCCCC,111-26-2,2.78
OCCCCCC,111-27-3,2.6210001
OCCCCCO,111-29-5,1.066
OCCNCCO,111-42-2,1.206
NCCCCCCC,111-68-2,3.211
N#CCCCCC#N,111-69-3,1.462
OCCCCCCC,111-70-6,3.105
O=CCCCCCC,111-71-7,2.9979999
O=C(OC)C#CCCCCCC,111-80-8,4.3200002
BrCCCCCCCC,111-83-1,4.8699999
ClCCCCCCCC,111-85-3,3.6700001
NCCCCCCCC,111-86-4,3.3510001
OCCCCCCCC,111-87-5,3.5829999
O=C(O)CCCCCCCC,112-05-0,3.3510001
O=C(CCCCCCCCC)C,112-12-9,4.5349998
O=C(OCCCCCCCC)C,112-14-1,4.0570002
O=C(OCCCCCCCCCC)C,112-17-4,4.8800001
NCCCCCCCCC,112-20-9,4.7010002
OCCCCCCCCCC,112-30-1,4.335
OCCCCCCCCCCC,112-42-5,4.9549999
O=CCCCCCCCCCC,112-44-7,4.6900001
OCCCCCCCCCCO,112-47-0,3.224
OC(C=C)(C)C,115-18-4,1.6109999
OC(C#C)(C)C,115-19-5,1.689
ClC(Cl)(Cl)CO,115-20-8,2.5350001
P(=O)(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,115-86-6,4.8099999
Clc1c([N+](=O)[O-])c(Cl)c(Cl)cc1Cl,117-18-0,4.8200002
ClC1=C(Cl)C(=O)c2c(C1=O)cccc2,117-80-6,6.3600001
O=C(c1c(O)cccc1)c1ccccc1,117-99-7,4.23
Brc1c(O)c(Br)cc(Br)c1,118-79-6,4.9099998
Clc1c(C(=O)O)cccc1,118-91-2,2.55
O=[N+]([O-])c1c(O)ccc(C)c1,119-33-5,3.5699999
O=C(/C(=N/O)/C)c1ccccc1,119-51-7,2.96
O=C(c1ccccc1)c1ccccc1,119-61-9,3.8699999
O=C(OCC)c1ccc(O)cc1,120-47-8,3.5699999
O=C(OCC(C)C)c1ccccc1,120-50-3,3.98
O=C(OCc1ccccc1)c1ccccc1,120-51-4,4.4499998
[nH]1c2c(cc1)cccc2,120-72-9,3.21
Oc1c(O)cccc1,120-80-9,3.75
O=[N+]([O-])c1c(C)ccc([N+](=O)[O-])c1,121-14-2,3.8699999
Clc1c([N+](=O)[O-])cc(C(F)(F)F)cc1,121-17-5,3.8499999
O=Cc1cc(OCC)c(O)cc1,121-32-4,3.02
O=Cc1cc(OC)c(O)cc1,121-33-5,2.97
N(C)(C)c1ccccc1,121-69-7,3.28
Clc1cc([N+](=O)[O-])ccc1,121-73-3,3.73
O=[N+]([O-])c1cc(C(=O)C)ccc1,121-89-1,3.3199999
O=Cc1ccc(C(C)C)cc1,122-03-2,3.6700001
O=CCc1ccccc1,122-78-1,3.8699999
O(CCCC)c1ccc(O)cc1,122-94-1,3.7
OCCCc1ccccc1,122-97-4,2.79
O=Cc1ccc(OC)cc1,123-11-5,2.9530001
O=CC(CCC)C,123-15-9,2.526
O=C(CCC)CCC,123-19-3,2.3310001
O=C(OC=C)CCC,123-20-6,2.618
Oc1ccc(N)cc1,123-30-8,2.9200001
Oc1ccc(O)cc1,123-31-9,3.47
O=CCC,123-38-6,2.5150001
OCCC(C)C,123-51-3,1.964
O=C(OCC)CCCCC,123-66-0,3.0639999
O=C(OCC=C)CCCCC,123-68-2,3.2130001
O=CCCC,123-72-8,2.6199999
O=C/C=C/C,123-73-9,4.0599999
O=C(OCCCC)C,123-86-4,2.5139999
OC(CCCCCC)C,123-96-6,3
O=C(O)CCCCC(=O)O,124-04-9,2.3940001
O=C(O)CCCCCCC,124-07-2,3.0810001
N#CCCCCCCC,124-12-9,3.283
O=CCCCCCCCC,124-19-6,3.8080001
OCC(N)(C)C,124-68-5,1.069
OC1C2(C)C(C)(C)C(C1)CC2,124-76-5,3.1500001
N#CC(=C)C,126-98-7,1.347
ClCC(O)C,127-00-4,1.508
O/N=C(\C)/C,127-06-0,1.752
O=C(N(C)C)C,127-19-5,1.051
Oc1c(C(C)(C)C)cc(C)cc1C(C)(C)C,128-37-0,4.79
O=C1c2c(C(=O)C=C1)cccc2,130-15-4,5
O=C(OCCC)c1c(C(=O)OCCC)cccc1,131-16-8,3.98
O=C(c1c(O)cc(O)cc1)c1c(O)cc(O)cc1,131-55-5,3.96
O=C(c1c(O)cc(O)cc1)c1ccccc1,131-56-6,4.3699999
O=C(c1c(O)cc(OC)cc1)c1ccccc1,131-57-7,4.4200001
O=C(c1c(C)cccc1)c1ccccc1,131-58-8,4.3699999
o1c2c(c3c1cccc3)cccc2,132-64-9,4.4200001
O=C(OCC)C(C(=O)OCC)CCCC,133-08-4,3.5569999
O=C(Oc1ccccc1)c1c(O)cc(N)cc1,133-11-9,4.4099998
O=Cc1cc(OC)c(O)c(OC)c1,134-96-3,3.1700001
O=Cc1c(OC)cccc1,135-02-4,3.1500001
O=C(Oc1cc(O)ccc1)c1ccccc1,136-36-7,4.1100001
O=C(OCCCC)c1ccccc1,136-60-7,3.9200001
Oc1c(CCCCCC)ccc(O)c1,136-77-6,4.8000002
Clc1c(O)cc(O)c(Cl)c1,137-19-9,3.97
OCC(CC)C,137-32-6,2.0469999
O=Cc1cc(O)c(O)cc1,139-85-5,3.1070001
O=C(OCCc1ccccc1)CC(C)C,140-26-1,4.0999999
N#CCc1ccccc1,140-29-4,2.6400001
NCCN1CCNCC1,140-31-8,2.21
Clc1ccc(CC#N)cc1,140-53-4,3.6600001
O=C(OCC)C=C,140-88-5,3.52
O=C(OCCCC)CCC(=O)OCCCC,141-03-7,3.5120001
O=C(OCCC)CCCC,141-06-0,3.0090001
O=C(OCC)CCCCC(=O)OCC,141-28-6,2.8740001
O=C(OCCCC)C=C,141-32-2,3.52
OCCN,141-43-5,1.115
O=C(OCC)C,141-78-6,1.7029999
O=C(OCCCCCC)C(=C)C,142-09-6,4.0900002
O=C(OCC=C)CCCCCC,142-19-8,3.7279999
OC(C#CC(O)(C)C)(C)C,142-30-3,1.415
ClC(=O)CCCCC,142-61-0,3.3399999
O=C(O)CCCCC,142-62-1,2.7920001
O=C/C=C/C=C/C,142-83-6,3.74
O=C(OCCCCCC)C,142-92-7,2.9909999
OCCCCCCCCC,143-08-8,3.855
ICC(=O)N,144-48-9,4.8540001
O=Cc1c(O)c(OC)ccc1,148-53-8,3.3770001
O=C(O)C(CCCC)CC,149-57-5,3.076
O(C)c1cc(O)ccc1,150-19-6,2.6700001
O=C(O)Cc1ccc(O)cc1,156-38-7,1.5
Clc1ccc(CCN)cc1,156-41-2,3.1400001
OCCCN,156-87-6,1.308
n1c2c(c3c(nccc3)cc2)ccc1,230-07-9,4.1399999
n1c2c3c(ccc2ccc1)cccc3,230-27-3,4.3099999
n1c2c3c(nccc3)ccc2ccc1,230-46-6,4.0700002
n1ncc2c(c1)cccc2,253-52-1,2.6600001
n1c2c(cnc1)cccc2,253-82-7,2.71
n1c2c(cc3c1cccc3)cccc2,260-94-6,4.4000001
o1c2c(cc1)cccc2,271-89-6,2.8900001
[nH]1nccc1,288-13-1,1.29
[nH]1cncc1,288-32-4,2
n1ncccc1,289-80-5,1.59
n1cnccc1,289-95-2,1.25
n1ccncc1,290-37-9,1.1799999
C(=C)Cc1ccccc1,300-57-2,3.1900001
Ic1c(O)c(I)cc([N+](=O)[O-])c1,305-85-1,4.8099999
Fc1c(F)c(F)cc(F)c1[N+](=O)[O-],314-41-0,4.8699999
Brc1cc(F)c(O)c([N+](=O)[O-])c1,320-76-3,4.6199999
Clc1cc(C(=O)O)c(O)cc1,321-14-2,2.5999999
Fc1c2c(ccc1)cccc2,321-38-0,3.3900001
Fc1ccc(-c2ccccc2)cc1,324-74-3,3.53
Fc1c([N+](=O)[O-])cc([N+](=O)[O-])c(F)c1,327-92-4,5.0799999
O=[N+]([O-])c1c(O)cc([N+](=O)[O-])cc1,329-71-5,4.04
O=C(O)CCCCCCCCC,334-48-5,3.506
Clc1c(F)ccc([N+](=O)[O-])c1,350-30-1,3.8
Fc1ccc([N+](=O)[O-])cc1,350-46-9,3.0999999
S(CC)CC,352-93-2,2.02
Fc1c([N+](=O)[O-])cc(F)cc1,364-74-9,3.3299999
Fc1c(O)ccc(F)c1,367-27-1,3.5999999
Fc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1,367-81-7,4.6900001
Fc1ccc(N)cc1,371-40-4,3.5899999
Fc1ccc(O)cc1,371-41-5,3.02
Fc1ncccc1,372-48-5,1.8
Clc1c(O)c(Cl)cc(F)c1,392-71-2,3.8
FC(F)(F)c1c(N)ccc(F)c1,393-39-5,2.98
Fc1cc([N+](=O)[O-])c(O)cc1,394-33-2,4.3800001
